city_name;city_code;age;sex;measurement_date;value;unit
Severozápad;CZ04;Less than 5 years old;Males;2022;27103;Number
Severozápad;CZ04;Less than 5 years old;Total;2022;53283;Number
Strední Morava;CZ07;Less than 5 years old;Females;2004;26344;Number
Strední Morava;CZ07;Less than 5 years old;Males;2004;27937;Number
Strední Morava;CZ07;Less than 5 years old;Total;2004;54281;Number
Strední Morava;CZ07;Less than 5 years old;Females;2010;31380;Number
Strední Morava;CZ07;Less than 5 years old;Males;2010;32818;Number
Strední Morava;CZ07;Less than 5 years old;Total;2010;64198;Number
Strední Morava;CZ07;Less than 5 years old;Females;2016;29111;Number
Strední Morava;CZ07;Less than 5 years old;Males;2016;30620;Number
Strední Morava;CZ07;Less than 5 years old;Total;2016;59731;Number
Strední Morava;CZ07;Less than 5 years old;Females;2022;30382;Number
Strední Morava;CZ07;Less than 5 years old;Males;2022;31477;Number
Strední Morava;CZ07;Less than 5 years old;Total;2022;61859;Number
Moravskoslezsko;CZ08;Less than 5 years old;Females;2004;27454;Number
Moravskoslezsko;CZ08;Less than 5 years old;Males;2004;28595;Number
Moravskoslezsko;CZ08;Less than 5 years old;Total;2004;56049;Number
Moravskoslezsko;CZ08;Less than 5 years old;Females;2010;31726;Number
Moravskoslezsko;CZ08;Less than 5 years old;Males;2010;33177;Number
Moravskoslezsko;CZ08;Less than 5 years old;Total;2010;64903;Number
Moravskoslezsko;CZ08;Less than 5 years old;Females;2016;28444;Number
Moravskoslezsko;CZ08;Less than 5 years old;Males;2016;30048;Number
Moravskoslezsko;CZ08;Less than 5 years old;Total;2016;58492;Number
Moravskoslezsko;CZ08;Less than 5 years old;Females;2022;28998;Number
Moravskoslezsko;CZ08;Less than 5 years old;Males;2022;30467;Number
Moravskoslezsko;CZ08;Less than 5 years old;Total;2022;59465;Number
Karlsruhe;DE12;Less than 5 years old;Females;2004;61367;Number
Karlsruhe;DE12;Less than 5 years old;Males;2004;64609;Number
Karlsruhe;DE12;Less than 5 years old;Total;2004;125976;Number
Karlsruhe;DE12;Less than 5 years old;Females;2010;55310;Number
Karlsruhe;DE12;Less than 5 years old;Males;2010;58421;Number
Karlsruhe;DE12;Less than 5 years old;Total;2010;113731;Number
Karlsruhe;DE12;Less than 5 years old;Females;2016;58312;Number
Karlsruhe;DE12;Less than 5 years old;Males;2016;62103;Number
Karlsruhe;DE12;Less than 5 years old;Total;2016;120415;Number
Karlsruhe;DE12;Less than 5 years old;Females;2022;65795;Number
Karlsruhe;DE12;Less than 5 years old;Males;2022;68801;Number
Karlsruhe;DE12;Less than 5 years old;Total;2022;134596;Number
Freiburg;DE13;Less than 5 years old;Females;2004;51252;Number
Freiburg;DE13;Less than 5 years old;Males;2004;54163;Number
Freiburg;DE13;Less than 5 years old;Total;2004;105415;Number
Freiburg;DE13;Less than 5 years old;Females;2010;46749;Number
Freiburg;DE13;Less than 5 years old;Males;2010;48564;Number
Freiburg;DE13;Less than 5 years old;Total;2010;95313;Number
Freiburg;DE13;Less than 5 years old;Females;2016;48997;Number
Freiburg;DE13;Less than 5 years old;Males;2016;51750;Number
Freiburg;DE13;Less than 5 years old;Total;2016;100747;Number
Freiburg;DE13;Less than 5 years old;Females;2022;55624;Number
Freiburg;DE13;Less than 5 years old;Males;2022;58330;Number
Freiburg;DE13;Less than 5 years old;Total;2022;113954;Number
Tübingen;DE14;Less than 5 years old;Females;2004;44224;Number
Tübingen;DE14;Less than 5 years old;Males;2004;47036;Number
Tübingen;DE14;Less than 5 years old;Total;2004;91260;Number
