DATAFLOW,LAST UPDATE,freq,landuse,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:REG_AREA3(1.0),31/01/23 23:00:00,A,L0008,KM2,CH0,2022,39860,
ESTAT:REG_AREA3(1.0),31/01/23 23:00:00,A,L0008,KM2,CH01,2022,8256,
ESTAT:REG_AREA3(1.0),31/01/23 23:00:00,A,L0008,KM2,CH011,2022,2819,
ESTAT:REG_AREA3(1.0),31/01/23 23:00:00,A,L0008,KM2,CH012,2022,5194,
ESTAT:REG_AREA3(1.0),31/01/23 23:00:00,A,L0008,KM2,CH013,2022,243,
ESTAT:REG_AREA3(1.0),31/01/23 23:00:00,A,L0008,KM2,CH02,2022,9752,
ESTAT:REG_AREA3(1.0),31/01/23 23:00:00,A,L0008,KM2,CH021,2022,5823,
ESTAT:REG_AREA3(1.0),31/01/23 23:00:00,A,L0008,KM2,CH022,2022,1589,
ESTAT:REG_AREA3(1.0),31/01/23 23:00:00,A,L0008,KM2,CH023,2022,786,
ESTAT:REG_AREA3(1.0),31/01/23 23:00:00,A,L0008,KM2,CH024,2022,715,
ESTAT:REG_AREA3(1.0),31/01/23 23:00:00,A,L0008,KM2,CH025,2022,839,
ESTAT:REG_AREA3(1.0),31/01/23 23:00:00,A,L0008,KM2,CH03,2022,1934,
ESTAT:REG_AREA3(1.0),31/01/23 23:00:00,A,L0008,KM2,CH031,2022,36,
ESTAT:REG_AREA3(1.0),31/01/23 23:00:00,A,L0008,KM2,CH032,2022,516,
ESTAT:REG_AREA3(1.0),31/01/23 23:00:00,A,L0008,KM2,CH033,2022,1382,
ESTAT:REG_AREA3(1.0),31/01/23 23:00:00,A,L0008,KM2,CH04,2022,1654,
ESTAT:REG_AREA3(1.0),31/01/23 23:00:00,A,L0008,KM2,CH040,2022,1654,
ESTAT:REG_AREA3(1.0),31/01/23 23:00:00,A,L0008,KM2,CH05,2022,11278,
ESTAT:REG_AREA3(1.0),31/01/23 23:00:00,A,L0008,KM2,CH051,2022,676,
ESTAT:REG_AREA3(1.0),31/01/23 23:00:00,A,L0008,KM2,CH052,2022,296,
ESTAT:REG_AREA3(1.0),31/01/23 23:00:00,A,L0008,KM2,CH053,2022,243,
ESTAT:REG_AREA3(1.0),31/01/23 23:00:00,A,L0008,KM2,CH054,2022,172,
ESTAT:REG_AREA3(1.0),31/01/23 23:00:00,A,L0008,KM2,CH055,2022,1947,
ESTAT:REG_AREA3(1.0),31/01/23 23:00:00,A,L0008,KM2,CH056,2022,7084,
ESTAT:REG_AREA3(1.0),31/01/23 23:00:00,A,L0008,KM2,CH057,2022,860,
ESTAT:REG_AREA3(1.0),31/01/23 23:00:00,A,L0008,KM2,CH06,2022,4253,
ESTAT:REG_AREA3(1.0),31/01/23 23:00:00,A,L0008,KM2,CH061,2022,1428,
ESTAT:REG_AREA3(1.0),31/01/23 23:00:00,A,L0008,KM2,CH062,2022,1055,
ESTAT:REG_AREA3(1.0),31/01/23 23:00:00,A,L0008,KM2,CH063,2022,843,
ESTAT:REG_AREA3(1.0),31/01/23 23:00:00,A,L0008,KM2,CH064,2022,478,
ESTAT:REG_AREA3(1.0),31/01/23 23:00:00,A,L0008,KM2,CH065,2022,241,
ESTAT:REG_AREA3(1.0),31/01/23 23:00:00,A,L0008,KM2,CH066,2022,208,
ESTAT:REG_AREA3(1.0),31/01/23 23:00:00,A,L0008,KM2,CH07,2022,2733,
ESTAT:REG_AREA3(1.0),31/01/23 23:00:00,A,L0008,KM2,CH070,2022,2733,
ESTAT:REG_AREA3(1.0),31/01/23 23:00:00,A,L0008,KM2,CY,2022,9213,
ESTAT:REG_AREA3(1.0),31/01/23 23:00:00,A,L0008,KM2,CY0,2022,9213,
